13fe4fddaed	ContentPipeline :> Loading [BG_TEXTURE_C]...

13fe4fddb2c	GameLevel :> Instantiating com.wyvernzora.centipede.states.GameLevel...

13fe4fddb4b	CompositeAsteroidComponent :> Instantiating com.wyvernzora.centipede.graphics.CompositeAsteroidComponent

13fe4fddb5b	CompositeCentipedeComponent :> Instantiating com.wyvernzora.centipede.graphics.CompositeCentipedeComponent...

13fe4fddb5b	CompositeProjectileComponent :> Instantiating com.wyvernzora.centipede.graphics.CompositeProjectileComponent...

13fe4fddb6a	ContentPipeline :> Loading [SHIP_S_1]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_S_2]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_L_1]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_L_2]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_R_1]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_R_2]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_0]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_1]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_2]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_3]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_4]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_5]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_6]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_7]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_8]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_9]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_A]...

13fe4fddb7a	ContentPipeline :> Loading [SHIP_E_B]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_E_C]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_E_D]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_E_E]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_1]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_2]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_3]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_4]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_5]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_6]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_7]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_8]...

13fe4fddb8a	ContentPipeline :> Loading [SHIP_I_9]...

13fe4fddc45	ContentPipeline :> Loading [SB_TEXTURE]...

13fe4fddc45	ContentPipeline :> Loading [SB_GRIP]...

13fe4fddc45	ContentPipeline :> Loading Font [GLOBAL_FONT]

13fe4fddd4f	ContentPipeline :> Loading [SHIP_S_0]...

13fe4fddd6e	ContentPipeline :> Loading [WPUP_TITLE]...

13fe4fddd6e	ContentPipeline :> Loading [WPUP_MISSILE]...

13fe4fddd6e	ContentPipeline :> Loaded from buffer [WPUP_MISSILE]

13fe4fddd6e	ContentPipeline :> Loaded from buffer [WPUP_MISSILE]

13fe4fddd6e	ContentPipeline :> Loading [WPUP_LASER]...

13fe4fddd6e	ContentPipeline :> Loaded from buffer [WPUP_LASER]

13fe4fddd6e	ContentPipeline :> Loaded from buffer [WPUP_LASER]

13fe4fddd7e	ContentPipeline :> Loading [WPUP_CHAINEXPL]...

13fe4fddd8d	ContentPipeline :> Loading [WPUP_MEGALASER]...

13fe4fddd8d	ContentPipeline :> Loading [MENU_TITLE]...

13fe4fddd9d	ContentPipeline :> Loading [MENU_ITEM]...

13fe4fdddad	ContentPipeline :> Loaded from buffer [MENU_ITEM]

13fe4fdddad	ContentPipeline :> Loaded from buffer [MENU_ITEM]

13fe4fdddbc	ContentPipeline :> Loaded from buffer [MENU_ITEM]

13fe4fdde2a	ContentPipeline :> Loading [TITLE]...

